sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason
半導體,regime,2344.TW,2023-12-27,2024-01-17,29.59505271911621,26.71015739440918,-9.747897231632917,-4720.39748498649,21,停損
半導體,regime,3711.TW,2024-01-22,2024-02-02,125.60286712646484,120.9336166381836,-3.7174712608908487,-2440.3243171961803,11,賣出信號
半導體,regime,2379.TW,2023-12-13,2024-02-27,432.81005859375,523.806396484375,21.024543234111203,9725.556383688658,76,停利
半導體,regime,3711.TW,2024-03-07,2024-03-08,152.6845245361328,148.94912719726562,-2.4464806438082762,-1475.911331028292,1,賣出信號
半導體,regime,2454.TW,2024-02-23,2024-04-16,1014.1295166015625,972.6425170898438,-4.090897546375077,-2513.8128592746216,53,賣出信號
半導體,regime,3034.TW,2024-02-19,2024-04-19,493.5498962402344,527.649658203125,6.909080970871613,3575.6443828577903,60,賣出信號
半導體,regime,2330.TW,2024-03-04,2024-04-19,699.1810913085938,726.6680908203125,3.931313339763498,1712.2655434498593,46,賣出信號
半導體,regime,2379.TW,2024-02-27,2024-04-22,523.806396484375,465.6056823730469,-11.111111758457543,-6306.510308293786,55,停損
半導體,regime,6415.TW,2024-04-10,2024-04-30,350.4740905761719,430.32891845703125,22.784802080399082,10781.394535856656,20,停利
半導體,regime,6415.TW,2024-05-16,2024-07-01,443.6380615234375,438.2158203125,-1.2222218247725891,-1080.7839914384604,46,賣出信號
半導體,regime,2303.TW,2024-05-21,2024-07-02,47.96181106567383,49.504180908203125,3.2158290278432955,1490.9300525935541,42,賣出信號
半導體,regime,2454.TW,2024-05-27,2024-08-02,1184.687744140625,1027.1383056640625,-13.298815595568536,-7482.991944166475,67,停損
半導體,regime,2344.TW,2024-07-30,2024-09-10,22.581771850585938,20.343490600585938,-9.911893826621593,-5988.9026613319,42,停損
半導體,regime,6415.TW,2024-10-04,2024-11-14,499.83221435546875,442.6521911621094,-11.439843521709129,-7104.310216685153,41,停損
半導體,regime,2344.TW,2024-11-07,2024-11-14,19.696874618530273,17.607812881469727,-10.60605693806476,-6280.751572496265,7,停損
半導體,regime,6415.TW,2024-12-10,2024-12-13,439.2016906738281,395.82373046875,-9.876546726978026,-6111.18815441367,3,停損
半導體,regime,2454.TW,2025-01-07,2025-01-13,1433.447998046875,1337.2432861328125,-6.711419740733178,-4028.1838960215537,6,賣出信號
