半導體_baseline,半導體_regime,電子_baseline,電子_regime,金融_baseline,金融_regime,傳產_baseline,傳產_regime
1000000.0,999861.0675765625,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
1000000.0,1002693.1390501589,1000000.0,1000000.0,1000000.0,999928.75,1000000.0,1000000.0
1000000.0,1002346.5313314112,999928.75,999928.75,1000000.0,999335.8633138179,1000000.0,1000000.0
1000000.0,1004737.808385379,1000141.96474309,1000141.96474309,1000000.0,999533.4939920296,1000000.0,1000000.0
1000000.0,1003060.4488630758,999289.0881085137,999289.0881085137,1000000.0,999731.1246702411,1000000.0,999928.75
1000000.0,1001901.2715779919,998542.8241441473,998542.8241441473,1000000.0,999928.75,1000000.0,1000547.4249437546
1000000.0,1001754.7982680029,997515.6524159235,997515.6524159235,1000000.0,999928.75,1000000.0,1000603.6676255921
1000000.0,1001912.43301662,999371.3796736308,999307.0861937378,1000000.0,999928.75,1000000.0,1001053.6145238343
1000000.0,1002655.9388859608,1005551.6357464755,1005076.2954588137,1000000.0,999731.1246702411,1000000.0,1001379.6254297164
1000000.0,1003601.7074785489,1003794.4544390126,1003319.1141513507,1000000.0,999335.8633138179,1000000.0,999799.4608410962
1000000.0,1004287.9959871612,1006299.9738897532,1005705.6398163629,1000000.0,999138.2326356063,1000000.0,1000472.0130120844
