sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason,entry_score,entry_indicators
半導體,B_技術+盤勢,2330.TW,2021-01-13,2021-03-24,549.4514770507812,525.2561645507812,-4.403539440801945,-2417.022421535883,70,賣出信號,63.7,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2021-02-05,2021-03-31,315.5224914550781,378.7586975097656,20.041742749641866,9166.466793003296,54,停利,62.675,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2021-04-14,2021-04-29,684.4482421875,840.4884033203125,22.797948992331015,11646.670599674682,15,停利,53.705,"EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,2344.TW,2021-04-09,2021-05-03,31.243389129638672,30.514680862426758,-2.332359860795747,-1696.8413909962692,24,賣出信號,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2021-04-13,2021-05-10,41.05511474609375,39.6212043762207,-3.4926473321073312,-2252.381148680637,27,賣出信號,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2021-03-31,2021-05-11,378.7586975097656,323.4270324707031,-14.60868500257631,-9296.313269964492,41,停損,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3711.TW,2021-04-16,2021-05-11,87.47068786621094,80.11695861816406,-8.407078333823813,-4480.464983754304,25,停損,51.05751901905951,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2021-05-03,2021-05-11,730.0655517578125,663.8054809570312,-9.07590703892874,-4926.417708830682,8,停損,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2021-03-26,2021-05-12,376.3154602050781,338.64508056640625,-10.010319432037923,-6510.883784107595,47,停損,59.8,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2021-04-27,2021-05-12,556.2609252929688,510.6657409667969,-8.196726078172402,-4156.587540620581,15,停損,51.405,"MACD,EMA Cross,Pullback Support"
半導體,B_技術+盤勢,6415.TW,2021-05-24,2021-07-12,805.9634399414062,968.6018676757812,20.179380313603165,12376.557154305134,49,停利,54.05,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2021-07-12,2021-07-27,968.6018676757812,881.7645874023438,-8.96521916500211,-5533.8788100056845,15,停損,63.7,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2021-07-27,2021-07-28,692.054443359375,656.64013671875,-5.117271766758212,-3131.8861863153797,1,賣出信號,50.32929766231525,"MACD,EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,2344.TW,2021-06-28,2021-08-11,31.7899227142334,29.176746368408203,-8.22014060655514,-5020.795568813475,44,停損,50.76493290942527,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2021-07-21,2021-08-13,441.94732666015625,420.9761657714844,-4.74517202019372,-2934.554244509476,23,賣出信號,53.95,"MACD,EMA Cross,Volume,ADX"
