symbol,name,sector,variant,total_return_pct,annualized_pct,max_drawdown_pct,win_rate,total_trades,win_trades,avg_hold_days,bnh_return_pct,final_capital
1590.TW,亞德客-KY,精密,B+C,-29.72,-7.4,37.51,33.3,9,3,20.4,65.88,702752
0050.TW,元大台灣50,ETF,baseline,54.09,9.88,13.87,50.0,20,10,22.7,250.98,1540939
0050.TW,元大台灣50,ETF,A_volume,61.58,11.02,13.87,52.9,17,9,23.2,250.98,1615755
0050.TW,元大台灣50,ETF,B_close_confirm,33.84,6.56,15.34,58.3,12,7,24.8,250.98,1338443
0050.TW,元大台灣50,ETF,C_kbar,14.51,3.0,18.22,50.0,14,7,22.1,250.98,1145054
0050.TW,元大台灣50,ETF,A+C,5.39,1.15,20.74,42.9,14,6,19.0,250.98,1053864
0050.TW,元大台灣50,ETF,B+C,11.53,2.41,16.92,50.0,12,6,20.7,250.98,1115329
0056.TW,元大高股息,ETF,baseline,17.27,3.53,25.12,54.2,24,13,21.3,144.85,1172685
0056.TW,元大高股息,ETF,A_volume,-1.5,-0.33,22.52,44.4,18,8,16.9,144.85,985005
0056.TW,元大高股息,ETF,B_close_confirm,26.79,5.31,6.18,72.7,11,8,21.1,144.85,1267946
0056.TW,元大高股息,ETF,C_kbar,-1.54,-0.34,26.94,42.1,19,8,17.7,144.85,984631
0056.TW,元大高股息,ETF,A+C,-6.73,-1.51,22.14,43.8,16,7,13.9,144.85,932688
0056.TW,元大高股息,ETF,B+C,15.01,3.09,6.64,70.0,10,7,18.2,144.85,1150104
6446.TW,藥華藥,其他,baseline,86.86,14.6,47.68,40.7,27,11,13.3,977.88,1868600
6446.TW,藥華藥,其他,A_volume,79.01,13.53,39.28,45.8,24,11,11.5,977.88,1790112
6446.TW,藥華藥,其他,B_close_confirm,31.52,6.15,50.95,42.9,21,9,11.9,977.88,1315183
6446.TW,藥華藥,其他,C_kbar,89.0,14.88,41.56,40.9,22,9,13.3,977.88,1890007
6446.TW,藥華藥,其他,A+C,106.01,17.06,36.3,45.0,20,9,13.3,977.88,2060098
6446.TW,藥華藥,其他,B+C,48.98,9.08,48.54,38.9,18,7,13.4,977.88,1489839
